statement;wave;veracity;statements;url;satire
F1;1;F;Most middle-class Americans saw their taxes increase in 2018.;https://www.nbcnews.com/business/taxes/tax-code-changes-leave-americans-asking-what-happened-my-refund-n969366;0
F2;1;F;Alexandria Ocasio-Cortez has released a plan to provide completely free renewable electricity to every US citizen.;http://genesiustimes.com/alexandria-ocasio-cortez-unveils-plan-for-free-100-renewable-electricity-for-all/;1
F3;1;F;In her own racial scandal, Elizabeth Warren admitted to wearing paleface at a college costume party.;https://babylonbee.com/news/elizabeth-warren-admits-to-wearing-paleface-at-college-costume-party;1
F4;1;F;To avoid having to answer reporters' questions about her Green New Deal, Rep. Alexandria-Ocasio Cortez pretended that she didn't speak English.;https://babylonbee.com/news/confronted-with-details-of-green-new-deal-ocasio-cortez-claims-not-to-speak-english;1
F5;1;F;Apple gave the Mueller investigation unlimited access to Roger Stone's iCloud data, despite refusing to turn over the same kinds of information about known terrorists.;https://www.thegatewaypundit.com/2019/02/apple-gives-deep-state-access-to-roger-stones-personal-account-after-refusing-to-violate-privacy-of-san-bernardino-terrorists/;0
F6;1;F;Representative Adam Schiff (D) has been found guilty of conspiring to falsify evidence related to the Trump-Russia investigation.;https://thehill.com/hilltv/rising/429041-adam-schiff-glenn-simpson-and-their-forrest-gump-like-encounter-in-aspen;0
F7;1;F;In a recent survey, 5 million Latin Americans admitted that they plan to enter the US illegally in 2019.;https://www.breitbart.com/politics/2019/02/09/gallup-five-million-latin-americans-coming-u-s-next-12-months/;0
F8;1;F;Yale's university newspaper recently published an article urging students to help keep white men out of power by lying about their past behavior.;https://thefederalistpapers.org/opinion/yale-newspaper-prints-guide-destroy-white-boy-lives-like-kavanaugh;0
F9;1;F;A UN peacekeeper recently stepped forward with evidence of a sex trafficking operation that has ties to the US State Department.;https://www.collective-evolution.com/2019/02/06/un-peacekeeper-discovers-sex-trafficking-inside-the-un-with-ties-to-the-u-s-state-department/;0
F10;1;F;Rep. Ilhan Omar recently called for the elimination of the Department of Homeland Security.;https://www.foxnews.com/politics/omar-calls-for-defunding-homeland-security-1-hour-after-insisting-that-tsa-workers-get-backpay;0
F1;2;F;Under current U.S. law, doctors can legally deny care to an infant born alive during or after an attempted abortion.;https://www.foxnews.com/politics/senate-will-vote-on-born-alive-bill-to-protect-infants-who-survive-a-failed-abortion;0
F2;2;F;Most middle-class Americans saw their taxes increase in 2018.;https://www.nbcnews.com/business/taxes/tax-code-changes-leave-americans-asking-what-happened-my-refund-n969366;0
F3;2;F;At a Black History Month reception last month, President Trump raised his fist in support of the Black Power movement and said it was time for all Americans to join the fight against white nationalism.;http://sandrarose.com/2019/02/president-trump-raised-his-fist-in-black-power-salute-at-white-house-reception-honoring-black-history-month/;0
F4;2;F;A U.S. District court has ruled that abortion opponents have the right to refuse to pay federal taxes on religious grounds because the funds could be used to pay for abortions.;https://newspunch.com/man-refuses-pay-taxes-abortion-is-defunded-wins-court-victory/;0
F5;2;F;An FEC investigation has concluded that Alexandria Ocasio-Cortez violated campaign finance laws while running for a seat in Congress.;https://thefederalistpapers.org/opinion/ocasio-cortez-caught-red-handed-helping-ton-money-get-funneled-boyfriend;0
F6;2;F;Democrats in California have introduced state legislation intended to protect pedophiles who rape children from having to register as sex offenders.;https://thewashingtonpundit.com/2019/02/21/ca-democrats-introduce-lgbtq-bill-that-would-protect-pedophiles-who-rape-children/;0
F7;2;F;Most of the money that Bernie Sanders raised immediately after announcing his presidential bid was donated in the Venezuelan currency, leading his campaign to dramatically overstate the size of the contribution.;https://babylonbee.com/news/bernie-sanders-disappointed-to-learn-6-million-in-donations-to-his-campaign-were-in-venezuelan-currency;1
F8;2;F;Alexandria Ocasio-Cortez claims to live in the Bronx, but evidence shows that she has never lived in that New York City borough.;https://nypost.com/2019/02/23/alexandria-ocasio-cortez-is-nowhere-to-be-seen-near-bronx-home/;0
F9;2;F;The U.S. completed construction of hundreds of miles of new border wall on a previously unprotected portion of the US-Mexico border in January 2019.;https://www.theepochtimes.com/reports-border-wall-construction-underway-in-san-diego-california_2808626.html;0
F10;2;F;Leaked emails show that Senate Majority Leader Mitch McConnell used his political position to promote his wife's Kentucky-based business.;https://wokesloth.com/mitch-mcconnell-busted-corruption-email-scandal/lindseyweedston/;0
F1;3;F;Actress Brie Larson, star of Captain Marvel, said that the new film isn't supposed to appeal to white men, and that she doesn't want them to see it.;https://ilovemyfreedom.org/hollywood-lectures-brie-larson-doesnt-want-white-males-to-see-captain-marvel-movie/;0
F2;3;F;Tucker Carlson repeatedly criticized a former child bride, who was a guest on his show, for saying that sexual encounters with her adult husband constituted rape.;https://www.theonion.com/tucker-carlson-spends-entire-show-screaming-over-child-1833209649;1
F3;3;F;In a recent Pew public opinion poll, many men said they were less likely to marry because they were uncomfortable with the idea of their wives working outside the home.;https://www.disclose.tv/young-men-giving-up-on-marriage-because-women-arent-women-anymore-362750;0
F4;3;F;Environmental activist and Greenpeace ally Patrick Moore recently stepped forward with evidence that human-caused climate change is a hoax.;https://www.breitbart.com/radio/2019/03/07/greenpeace-founder-global-warming-hoax-pushed-corrupt-scientists-hooked-government-grants/;0
F5;3;F;Nancy Pelosi has advanced legislation that would give illegal immigrants the right to vote in presidential elections;https://thefederalistpapers.org/opinion/pelosi-calls-illegal-immigrants-right-vote;0
F6;3;F;Addressing the Council on American-Islamic Relations, Representative Rashida Tlaib characterized her election as a first step to undermining the U.S. government.;https://thefederalistpapers.org/opinion/rashida-tlaib-declares-victory-us-government-says-muslims;0
F7;3;F;In 2018, the U.S. spent almost twice as much money on welfare for households headed by immigrants as it did supporting families headed by someone born in the U.S.;https://www.breitbart.com/politics/2019/03/12/study-migrants-using-nearly-2x-the-welfare-of-native-born-americans/;0
F8;3;F;Senator Kamala Harris has sponsored a bill that would require police officers to get permission from their shift supervisor before drawing a weapon in self-defense.;https://bluenewsnetwork.com/new-bill-would-require-officers-to-call-supervisor-before-drawing-weapons/;1
F9;3;F;Senator Lindsey Graham says that laws promoting the confiscation of numerous types of guns are something that both Democrats and Republicans can get behind.;https://www.breitbart.com/politics/2019/03/09/lindsey-graham-democrats-gop-can-come-together-for-gun-confiscation-law/;0
F10;3;F;Muslim immigrants rioted for at least four nights in Grenoble, France after police tried to enter one of the city's many no-go zones.;https://www.infowars.com/muslims-riot-for-4th-night-running-in-grenoble-france/;0
F1;4;F;There are suspicious circumstances surrounding the apparent suicide of Professor Alan Krueger, a highly regarded economist and top adviser to former Presidents Obama and Clinton.;https://thefederalistpapers.org/opinion/former-clinton-obama-advisor-found-dead-apparent;0
F2;4;F;Senator Dianne Feinstein has called for the confiscation of all guns in an effort to reduce mass shootings.;https://www.breitbart.com/politics/2019/03/26/dianne-feinstein-gun-confiscation/;0
F3;4;F;The Chinese government signed a $1B private equity deal with Hunter Biden's firm in exchange for then-Vice President Joe Biden's public support of pro-Chinese trade policies.;https://www.breitbart.com/clips/2019/03/22/schweizer-china-buying-off-joe-biden-through-his-son/;0
F4;4;F;Research shows that Google is intentionally manipulating search results in an effort to promote Democratic candidates and liberal politics.;https://www.breitbart.com/tech/2019/03/22/research-google-search-bias-flipped-seats-for-democrats-in-midterms/;0
F5;4;F;Most Americans believe that major media companies should apologize for pushing the now-debunked news story of collusion between President Trump and Russia.;https://babylonbee.com/news/nation-awaits-apology-from-media-that-pushed-fake-news-story-for-two-years;1
F6;4;F;While serving as Sec. of State, Hillary Clinton colluded with Russia, selling 20% of the U.S. uranium supply to that country in exchange for donations to the Clinton Foundation.;https://www.breitbart.com/politics/2019/03/25/one-potential-russian-collusion-scandal-not-investigated-hillary-clinton-uranium-one/;0
F7;4;F;Two police officers in Britain recently questioned a man in his home because he expressed support for Brexit in an online discussion forum.;https://www.infowars.com/uk-cops-now-knocking-on-doors-to-police-free-speech/;0
F8;4;F;Environmental activist and Greenpeace ally Patrick Moore recently stepped forward with evidence that human-caused climate change is a hoax.;https://www.breitbart.com/radio/2019/03/21/greenpeace-founder-climate-change-crisis-is-a-completely-made-up-issue/;0
F9;4;F;Both Barack and Michelle Obama's admission to Harvard University was part of an admissions scandal dating back to the late 1980s.;https://madworldnews.com/exposed-the-obamas-college-admissions-scandal-at-harvard/;0
F10;4;F;Elizabeth Warren has proposed amending the Constitution to prohibit the election of Republicans, eliciting praise from several other prominent Democrats.;https://babylonbee.com/news/candidates-propose-changes-to-outdated-constitution-that-allows-republicans-to-be-elected;1
F1;5;F;Protesters in Buffalo, NY, claimed a major victory after blocking customers and employees from entering a local Chick-fil-A restaurant for one day.;https://babylonbee.com/news/protesters-claim-victory-after-blocking-customers-from-chic-fil-a-for-entire-sunday;1
F2;5;F;White House Press Secretary Sarah Huckabee-Sanders told reporters that releasing the Mueller report would be a threat to public safety because so many Americans would be disturbed by evidence of the president's innocence.;https://politics.theonion.com/white-house-says-mueller-report-must-be-kept-private-be-1833813865;1
F3;5;F;The White House announced that it was appointing Joe Biden to serve as the head of the Transportation Security Agency (TSA), citing his comfort working closely with people.;https://babylonbee.com/news/joe-biden-appointed-head-of-tsa;1
F4;5;F;While Vice President, Joe Biden directed $1.8B in US aid to Ukraine in exchange for payments to his son from a Ukrainian energy company totaling at least $3.1M.;https://www.breitbart.com/politics/2019/04/03/exclusive-peter-schweizer-joe-biden-steered-1-8-billion-to-ukraine-while-his-son-bagged-sweetheart-deal-from-their-government/;0
F5;5;F;A Canadian man was fined $55,000 for describing a transgender female political candidate as male.;http://www.afa.net/the-stand/culture/2019/04/fined-55-000-for-calling-a-male-a-male/;0
F6;5;F;Televangelist Pat Robertson claims to have had a vision of Jesus wearing camo and carrying an AK-47, signaling that the Second Coming is near.;https://bizstandardnews.com/2019/04/03/robertsonjesus/;1
F7;5;F;In early 2019, a Kansas court sentenced a 23-year-old black man to 12 years in prison for kissing a 17-year-old white girl at a bar.;https://www.africanglobe.net/headlines/college-student-sentenced-12-years-prison-kissing-white-girl/;0
F8;5;F;The Russian government invested $35M in a US energy firm linked to Clinton campaign manager John Podesta in exchange for his consistent support of Russian interests.;https://www.breitbart.com/politics/2019/04/03/collusion-russians-gave-35-million-to-company-with-john-podesta-on-board/;0
F9;5;F;With a job approval rating of 53%, President Trump is now viewed more favorably than President Obama was during his second year in office.;https://www.breitbart.com/politics/2019/04/09/nolte-trump-job-approval-jumps-to-53-seven-points-higher-than-obama/;0
F10;5;F;Current CO2 levels of 410 parts per million were previously seen on Earth three million years ago, which means that humans are not responsible for climate change.;https://www.breitbart.com/politics/2019/04/09/nolte-scientists-prove-man-made-global-warming-is-a-hoax/;0
F1;6;F;Bernie Sanders said that American ISIS members should be allowed to vote in U.S. elections.;https://babylonbee.com/news/bernie-sanders-vows-to-round-up-remaining-isis-members-allow-them-to-vote;1
F2;6;F;Queen Elizabeth said that she will not meet with President Trump during his state visit to the UK.;https://newsthump.com/2019/04/23/queen-to-seek-asylum-in-ecuadorian-embassy-during-donald-trumps-state-visit/;1
F3;6;F;"CNN news anchor Anderson Cooper said his belief that Trump colluded with Russia is unshakable; it will not change regardless of statements or evidence to the contrary.";https://babylonbee.com/news/cnn-god-allowed-the-mueller-report-to-test-our-unshakable-faith-in-collusion;1
F4;6;F;Speaking at a gathering of wealthy donors, Pope Francis promised that money raised to help rebuild Notre Dame Cathedral will not be used to help the poor.;https://www.thebeaverton.com/2019/04/catholic-church-assures-billionaires-that-none-of-their-notre-dame-donations-will-go-to-poor/;1
F5;6;F;British protestors are stockpiling human urine, and are planning to douse President Trump with it during his state visit to the UK in June.;https://newsthump.com/2019/04/23/britons-eagerly-begin-stockpiling-bottles-of-piss-in-preparation-for-donald-trump-state-visit/;0
F6;6;F;"The Center for Disease Control (CDC) says that recent measles outbreaks in the US are the product of
international travel, and have little to do with falling vaccination rates.";https://www.newstarget.com/2019-04-19-cdc-admits-measles-outbreak-is-caused-by-people-who-enter-the-united-states.html;0
F7;6;F;Abortion rates are falling dramatically in response to the release of 'Unplanned,' a movie about a Planned Parenthood clinic manager who became a pro-life activist.;http://www.wnd.com/2019/04/serious-drop-in-abortion-traffic-follows-unplanned/;0
F8;6;F;Over its lifetime, an electric car driven in the U.S. will release more carbon into the atmosphere than a diesel car after accounting for battery production.;https://www.zerohedge.com/news/2019-04-21/new-study-shocks-electric-cars-considerably-worse-climate-diesel-cars;0
F9;6;F;Every prediction about humans' environmental impact made since 1970 has been wrong.;https://wattsupwiththat.com/2019/04/22/earth-day-not-a-single-environmental-prediction-of-the-last-50-years-has-come-true/;0
F10;6;F;An investigation by the Inspector General concluded that the Justice Department and FBI abused the Foreign Intelligence Surveillance Act (FISA) under President Obama's direction.;https://theconservativeopinion.com/breaking-trump-to-release-fisa-docs-exposing-obamas-doj-and-fbi/;0
F1;7;F;Special counsel Robert Mueller is furious at Nancy Pelosi for lying about Attorney General William Barr and wants to testify before Congress to correct the record. ;https://thefederalistpapers.org/opinion/mueller-furious-pelosi-democrat-lies-wants-testify-asap;0
F2;7;F;Facebook has issued a statement defending its users’ right to discuss assassinating President Trump on the platform, saying that such speech does not violate its community guidelines. ;https://www.newswars.com/facebook-defends-calls-for-trump-assassination/;0
F3;7;F;Rep. Jerry Nadler shared confidential documents about President Trump that he obtained by subpoena with his son’s law firm, which is currently suing the President.;https://thefederalistpapers.org/opinion/nadlers-sons-connection-jim-acosta-major-ethics-violation;0
F4;7;F;Hillary Clinton wants China to get President Trump’s tax returns by hacking the IRS, and she says the country should share the stolen documents with the American news media. ;https://www.politico.com/story/2019/05/01/hillary-clinton-china-tax-returns-1296868;0
F5;7;F;Nellie Ohr, wife of Justice Department official Bruce Ohr, has been convicted of lying to Congress when giving testimony about her work for Fusion GPS.;https://ilovemyfreedom.org/boom-the-tables-have-turned-first-criminal-referral-filed-against-deep-state-actor/;0
F6;7;F;Representative Ilhan Omar said that being Jewish is an inherently hostile act, especially among those living in Israel.;https://babylonbee.com/news/ilhan-omar-if-israel-is-so-innocent-then-why-are-they-all-jews;1
